[ENDING1],[ENDING2],[STARTPHRASE],[LABEL]
"Wajahnya terlihat seperti beauty filter di Instagram. Dengan demikian, wajahnya terlihat rupawan.","Wajahnya terlihat seperti beauty filter di Instagram. Dengan demikian, wajahnya terlihat jelek.",Wajahnya terlihat seperti beauty filter di Instagram.,0
"Wajahnya terlihat seperti habis perawatan di klinik abal-abal. Dengan demikian, wajahnya terlihat rupawan.","Wajahnya terlihat seperti habis perawatan di klinik abal-abal. Dengan demikian, wajahnya terlihat jelek.",Wajahnya terlihat seperti habis perawatan di klinik abal-abal.,1
"Dilihat dari rambutnya, dia seperti habis dari salon. Dengan demikian, rambutnya tertata bagus.","Dilihat dari rambutnya, dia seperti habis dari salon. Dengan demikian, rambutnya lepek.","Dilihat dari rambutnya, dia seperti habis dari salon.",0
"Dilihat dari rambutnya, dia seperti habis lari lima putaran. Dengan demikian, rambutnya tertata bagus.","Dilihat dari rambutnya, dia seperti habis lari lima putaran. Dengan demikian, rambutnya lepek.","Dilihat dari rambutnya, dia seperti habis lari lima putaran.",1
"Dia beribadah seperti tidak ada surga dan neraka. Dengan demikian, dia beribadah dengan asal.","Dia beribadah seperti tidak ada surga dan neraka. Dengan demikian, dia beribadah dengan khusyuk.",Dia beribadah seperti tidak ada surga dan neraka.,0
"Dia beribadah seperti akan mati esok hari. Dengan demikian, dia beribadah dengan asal.","Dia beribadah seperti akan mati esok hari. Dengan demikian, dia beribadah dengan khusyuk.",Dia beribadah seperti akan mati esok hari.,1
"Dari perawakannya, ia telrihat seperti belum makan tiga hari. Dengan demikian, perawakannya kurus.","Dari perawakannya, ia telrihat seperti belum makan tiga hari. Dengan demikian, perawakannya gendut.","Dari perawakannya, ia telrihat seperti belum makan tiga hari.",0
"Dari perawakannya, ia telrihat seperti baru menghabiskan semur satu kuali. Dengan demikian, perawakannya kurus.","Dari perawakannya, ia telrihat seperti baru menghabiskan semur satu kuali. Dengan demikian, perawakannya gendut.","Dari perawakannya, ia telrihat seperti baru menghabiskan semur satu kuali.",1
"Bapak itu terlihat seperti memiliki istri yang pandai memasak. Dengan demikian, bapak itu terlihat gemuk.","Bapak itu terlihat seperti memiliki istri yang pandai memasak. Dengan demikian, bapak itu terlihat kurus.",Bapak itu terlihat seperti memiliki istri yang pandai memasak.,0
"Bapak itu terlihat seperti tinggal di kosan seorang diri. Dengan demikian, bapak itu terlihat gemuk.","Bapak itu terlihat seperti tinggal di kosan seorang diri. Dengan demikian, bapak itu terlihat kurus.",Bapak itu terlihat seperti tinggal di kosan seorang diri.,1
"Raut wajahnya seakan ia baru saja menang giveaway di sosial media. Dengan demikian, raut wajahnya ceria.","Raut wajahnya seakan ia baru saja menang giveaway di sosial media. Dengan demikian, raut wajahnya murung.",Raut wajahnya seakan ia baru saja menang giveaway di sosial media.,0
"Raut wajahnya seakan ia baru saja diretas di sosial media. Dengan demikian, raut wajahnya ceria.","Raut wajahnya seakan ia baru saja diretas di sosial media. Dengan demikian, raut wajahnya murung.",Raut wajahnya seakan ia baru saja diretas di sosial media.,1
"Kemampuan Bahasa Inggrisnya seperti anak usia lima tahun. Dengan demikian, kemampuan Bahasa Inggrisnya buruk.","Kemampuan Bahasa Inggrisnya seperti anak usia lima tahun. Dengan demikian, kemampuan Bahasa Inggrisnya bagus sekali.",Kemampuan Bahasa Inggrisnya seperti anak usia lima tahun.,0
"Kemampuan Bahasa Inggrisnya seperti warna negara Amerika. Dengan demikian, kemampuan Bahasa Inggrisnya buruk.","Kemampuan Bahasa Inggrisnya seperti warna negara Amerika. Dengan demikian, kemampuan Bahasa Inggrisnya bagus sekali.",Kemampuan Bahasa Inggrisnya seperti warna negara Amerika.,1
"Dia meneyetir seakan-akan ia sudah tinggal di kota ini tiga puluh tahun. Dengan demikian, dia menyetir dan tahu arah jalan.","Dia meneyetir seakan-akan ia sudah tinggal di kota ini tiga puluh tahun. Dengan demikian, dia menyetir dan tidak tahu arah jalan.",Dia meneyetir seakan-akan ia sudah tinggal di kota ini tiga puluh tahun.,0
"Dia meneyetir seakan-akan ia baru kemarin sore sampai di kota ini. Dengan demikian, dia menyetir dan tahu arah jalan.","Dia meneyetir seakan-akan ia baru kemarin sore sampai di kota ini. Dengan demikian, dia menyetir dan tidak tahu arah jalan.",Dia meneyetir seakan-akan ia baru kemarin sore sampai di kota ini.,1
"Semenjak kau pergi, hatiku seperti rumah yang ditinggal pemiliknya. Dengan demikian, semenjak kau pergi, aku merasa kehilangan.","Semenjak kau pergi, hatiku seperti rumah yang ditinggal pemiliknya. Dengan demikian, semenjak kau pergi, aku merasa lebih baik.","Semenjak kau pergi, hatiku seperti rumah yang ditinggal pemiliknya.",0
"Semenjak kau pergi, hatiku seperti rumah yang direnovasi. Dengan demikian, semenjak kau pergi, aku merasa kehilangan.","Semenjak kau pergi, hatiku seperti rumah yang direnovasi. Dengan demikian, semenjak kau pergi, aku merasa lebih baik.","Semenjak kau pergi, hatiku seperti rumah yang direnovasi.",1
"Dia mendengarkan nasehat dari ibunya seperti murid yang duduk di bangku paling depan. Dengan demikian, dia mendengarkan nasehat dari ibunya dengan sungguh-sungguh.","Dia mendengarkan nasehat dari ibunya seperti murid yang duduk di bangku paling depan. Dengan demikian, dia mendengarkan nasehat dari ibunya dengan tidak fokus.",Dia mendengarkan nasehat dari ibunya seperti murid yang duduk di bangku paling depan.,0
"Dia mendengarkan nasehat dari ibunya seperti murid yang tidak sabar menunggu bel pulang. Dengan demikian, dia mendengarkan nasehat dari ibunya dengan sungguh-sungguh.","Dia mendengarkan nasehat dari ibunya seperti murid yang tidak sabar menunggu bel pulang. Dengan demikian, dia mendengarkan nasehat dari ibunya dengan tidak fokus.",Dia mendengarkan nasehat dari ibunya seperti murid yang tidak sabar menunggu bel pulang.,1
"Laki-laki itu berpidato sekan-akan ia orang paling tampan di Jakarta. Dengan demikian, laki-laki itu berpidato dengan sangat percaya diri.","Laki-laki itu berpidato sekan-akan ia orang paling tampan di Jakarta. Dengan demikian, laki-laki itu berpidato dengan sangat  tidak percaya diri.",Laki-laki itu berpidato sekan-akan ia orang paling tampan di Jakarta.,0
"Laki-laki itu berpidato sekan-akan ia tidak memiliki apapun kecuali yang melekat di badannya. Dengan demikian, laki-laki itu berpidato dengan sangat percaya diri.","Laki-laki itu berpidato sekan-akan ia tidak memiliki apapun kecuali yang melekat di badannya. Dengan demikian, laki-laki itu berpidato dengan sangat  tidak percaya diri.",Laki-laki itu berpidato sekan-akan ia tidak memiliki apapun kecuali yang melekat di badannya.,1
"Saat aku bersamanya, rasanya seperti dipeluk ibu. Dengan demikian, saat aku bersamanya, rasanya begitu nyaman.","Saat aku bersamanya, rasanya seperti dipeluk ibu. Dengan demikian, saat aku bersamanya, rasanya begitu tidak nyaman.","Saat aku bersamanya, rasanya seperti dipeluk ibu.",0
"Saat aku bersamanya, rasanya seperti memakai kain yang rombeng. Dengan demikian, saat aku bersamanya, rasanya begitu nyaman.","Saat aku bersamanya, rasanya seperti memakai kain yang rombeng. Dengan demikian, saat aku bersamanya, rasanya begitu tidak nyaman.","Saat aku bersamanya, rasanya seperti memakai kain yang rombeng.",1
"Saat bernyanyi, suaranya terdengar seperti kicauan burung di pagi hari. Dengan demikian, saat bernyanyi, suaranya terdengar nyaman di telinga atau bagus.","Saat bernyanyi, suaranya terdengar seperti kicauan burung di pagi hari. Dengan demikian, saat bernyanyi, suaranya terdengar tidak nyaman di telinga atau jelek.","Saat bernyanyi, suaranya terdengar seperti kicauan burung di pagi hari.",0
"Saat bernyanyi, suaranya terdengar seperti alarm bangun tidur di pagi hari. Dengan demikian, saat bernyanyi, suaranya terdengar nyaman di telinga atau bagus.","Saat bernyanyi, suaranya terdengar seperti alarm bangun tidur di pagi hari. Dengan demikian, saat bernyanyi, suaranya terdengar tidak nyaman di telinga atau jelek.","Saat bernyanyi, suaranya terdengar seperti alarm bangun tidur di pagi hari.",1
"Dia menatapku seakan-akan aku belum mandi tiga hari. Dengan demikian, dia menatapku dengan jijik.","Dia menatapku seakan-akan aku belum mandi tiga hari. Dengan demikian, dia menatapku dengan kagum.",Dia menatapku seakan-akan aku belum mandi tiga hari.,0
"Dia menatapku seakan-akan aku pemenang Putri Indonesia. Dengan demikian, dia menatapku dengan jijik.","Dia menatapku seakan-akan aku pemenang Putri Indonesia. Dengan demikian, dia menatapku dengan kagum.",Dia menatapku seakan-akan aku pemenang Putri Indonesia.,1
"Dia memasak seperti akan memberi makan satu RT. Dengan demikian, dia memasak dengan jumlah sangat banyak.","Dia memasak seperti akan memberi makan satu RT. Dengan demikian, dia memasak dengan jumlah sangat sedikit.",Dia memasak seperti akan memberi makan satu RT.,0
"Dia memasak seperti sedang diet ketat. Dengan demikian, dia memasak dengan jumlah sangat banyak.","Dia memasak seperti sedang diet ketat. Dengan demikian, dia memasak dengan jumlah sangat sedikit.",Dia memasak seperti sedang diet ketat.,1
"Bagiku, makanan ini terasa seperti dibuat oleh pemenang Masterchef . Dengan demikian, bagiku, makanan ini terasa lezat.","Bagiku, makanan ini terasa seperti dibuat oleh pemenang Masterchef . Dengan demikian, bagiku, makanan ini terasa tidak enak.","Bagiku, makanan ini terasa seperti dibuat oleh pemenang Masterchef .",0
"Bagiku, makanan ini terasa seperti dibuat oleh anak SD yang baru pertama kali ke dapur . Dengan demikian, bagiku, makanan ini terasa lezat.","Bagiku, makanan ini terasa seperti dibuat oleh anak SD yang baru pertama kali ke dapur . Dengan demikian, bagiku, makanan ini terasa tidak enak.","Bagiku, makanan ini terasa seperti dibuat oleh anak SD yang baru pertama kali ke dapur .",1
"Dari badannya, dia terlihat seperti pemain sumo. Dengan demikian, dia berbadan gendut.","Dari badannya, dia terlihat seperti pemain sumo. Dengan demikian, dia berbadan kurus.","Dari badannya, dia terlihat seperti pemain sumo.",0
"Dari badannya, dia terlihat seperti kontentan America's Next Top Model. Dengan demikian, dia berbadan gendut.","Dari badannya, dia terlihat seperti kontentan America's Next Top Model. Dengan demikian, dia berbadan kurus.","Dari badannya, dia terlihat seperti kontentan America's Next Top Model.",1
"Dia menghadapi masalah seperti remaja yang sedang puber. Dengan demikian, dia menghadapi masalah dengan sikap yang labil.","Dia menghadapi masalah seperti remaja yang sedang puber. Dengan demikian, dia menghadapi masalah dengan sikap yang bijak.",Dia menghadapi masalah seperti remaja yang sedang puber.,0
"Dia menghadapi masalah seperti psikolog yang tersertifikasi. Dengan demikian, dia menghadapi masalah dengan sikap yang labil.","Dia menghadapi masalah seperti psikolog yang tersertifikasi. Dengan demikian, dia menghadapi masalah dengan sikap yang bijak.",Dia menghadapi masalah seperti psikolog yang tersertifikasi.,1
"Saat aku berjabat tangan dengannya, rasanya seperti dia tidak pernah bekerja sekalipun dalam hidupnya. Dengan demikian, saat aku berjabat tangan dengannya, tangannya terasa halus.","Saat aku berjabat tangan dengannya, rasanya seperti dia tidak pernah bekerja sekalipun dalam hidupnya. Dengan demikian, saat aku berjabat tangan dengannya, tangannya terasa kasar.","Saat aku berjabat tangan dengannya, rasanya seperti dia tidak pernah bekerja sekalipun dalam hidupnya.",0
"Saat aku berjabat tangan dengannya, rasanya seperti dia bekerja sebagai tukang cuci. Dengan demikian, saat aku berjabat tangan dengannya, tangannya terasa halus.","Saat aku berjabat tangan dengannya, rasanya seperti dia bekerja sebagai tukang cuci. Dengan demikian, saat aku berjabat tangan dengannya, tangannya terasa kasar.","Saat aku berjabat tangan dengannya, rasanya seperti dia bekerja sebagai tukang cuci.",1
"Pipinya seperti bakpao. Dengan demikian, pipinya gembul.","Pipinya seperti bakpao. Dengan demikian, pipinya peyot.",Pipinya seperti bakpao.,0
"Pipinya seperti ban kempes. Dengan demikian, pipinya gembul.","Pipinya seperti ban kempes. Dengan demikian, pipinya peyot.",Pipinya seperti ban kempes.,1
"Hasil pertandingan hari ini membuatku merasa seperti menumpahkan sepiring mi goreng yang belum aku makan. Dengan demikian, hasil pertandingan hari ini membuatku merasa kecewa.","Hasil pertandingan hari ini membuatku merasa seperti menumpahkan sepiring mi goreng yang belum aku makan. Dengan demikian, hasil pertandingan hari ini membuatku merasa puas.",Hasil pertandingan hari ini membuatku merasa seperti menumpahkan sepiring mi goreng yang belum aku makan.,0
"Hasil pertandingan hari ini membuatku merasa seperti baru saja menyelesaikan lari marathon pertamaku. Dengan demikian, hasil pertandingan hari ini membuatku merasa kecewa.","Hasil pertandingan hari ini membuatku merasa seperti baru saja menyelesaikan lari marathon pertamaku. Dengan demikian, hasil pertandingan hari ini membuatku merasa puas.",Hasil pertandingan hari ini membuatku merasa seperti baru saja menyelesaikan lari marathon pertamaku.,1
"Dia berjalan seperti robot. Dengan demikian, dia berjalan dengan kaku.","Dia berjalan seperti robot. Dengan demikian, dia berjalan dengan luwes.",Dia berjalan seperti robot.,0
"Dia berjalan seperti model. Dengan demikian, dia berjalan dengan kaku.","Dia berjalan seperti model. Dengan demikian, dia berjalan dengan luwes.",Dia berjalan seperti model.,1
"Dia menangkat galon seperti binaragawan. Dengan demikian, dia menangkat galon dengan mudah.","Dia menangkat galon seperti binaragawan. Dengan demikian, dia menangkat galon dengan susah payah.",Dia menangkat galon seperti binaragawan.,0
"Dia menangkat galon seperti sedang sakit tipes. Dengan demikian, dia menangkat galon dengan mudah.","Dia menangkat galon seperti sedang sakit tipes. Dengan demikian, dia menangkat galon dengan susah payah.",Dia menangkat galon seperti sedang sakit tipes.,1
"Kata-katanya membuatku merasa seperti sedang berlibur di Bali. Dengan demikian, kata-katanya membuatku merasa tenang.","Kata-katanya membuatku merasa seperti sedang berlibur di Bali. Dengan demikian, kata-katanya membuatku merasa gelisah.",Kata-katanya membuatku merasa seperti sedang berlibur di Bali.,0
"Kata-katanya membuatku merasa seperti diberi setumpuk tugas yang harus selesai besok. Dengan demikian, kata-katanya membuatku merasa tenang.","Kata-katanya membuatku merasa seperti diberi setumpuk tugas yang harus selesai besok. Dengan demikian, kata-katanya membuatku merasa gelisah.",Kata-katanya membuatku merasa seperti diberi setumpuk tugas yang harus selesai besok.,1
"Dari ekspresinya, dia terlihat seperti orang yang sedang jatuh cinta. Dengan demikian, dia terlihat bahagia.","Dari ekspresinya, dia terlihat seperti orang yang sedang jatuh cinta. Dengan demikian, dia terlihat murung.","Dari ekspresinya, dia terlihat seperti orang yang sedang jatuh cinta.",0
"Dari ekspresinya, dia terlihat seperti sedang terlilit hutang. Dengan demikian, dia terlihat bahagia.","Dari ekspresinya, dia terlihat seperti sedang terlilit hutang. Dengan demikian, dia terlihat murung.","Dari ekspresinya, dia terlihat seperti sedang terlilit hutang.",1
"Alas sepatu ini terasa seperti bantal bulu angsa. Dengan demikian, alas sepatu ini terasa empuk.","Alas sepatu ini terasa seperti bantal bulu angsa. Dengan demikian, alas sepatu ini terasa keras.",Alas sepatu ini terasa seperti bantal bulu angsa.,0
"Alas sepatu ini terasa seperti kerikil di dasar sungai. Dengan demikian, alas sepatu ini terasa empuk.","Alas sepatu ini terasa seperti kerikil di dasar sungai. Dengan demikian, alas sepatu ini terasa keras.",Alas sepatu ini terasa seperti kerikil di dasar sungai.,1
"Kondisi di dalam rumahnya seperti showroom di IKEA. Dengan demikian, kondisi di dalam rumahnya tertata rapi.","Kondisi di dalam rumahnya seperti showroom di IKEA. Dengan demikian, kondisi di dalam rumahnya berantakan.",Kondisi di dalam rumahnya seperti showroom di IKEA.,0
"Kondisi di dalam rumahnya seperti habis terkena gempa 7 skala Richter. Dengan demikian, kondisi di dalam rumahnya tertata rapi.","Kondisi di dalam rumahnya seperti habis terkena gempa 7 skala Richter. Dengan demikian, kondisi di dalam rumahnya berantakan.",Kondisi di dalam rumahnya seperti habis terkena gempa 7 skala Richter.,1
"Dia makan malam seperti orang yang sedang sariawan. Dengan demikian, dia makan malam dengan tidak berselera.","Dia makan malam seperti orang yang sedang sariawan. Dengan demikian, dia makan malam dengan lahap.",Dia makan malam seperti orang yang sedang sariawan.,0
"Dia makan malam seperti orang yang sedang berbuka puasa. Dengan demikian, dia makan malam dengan tidak berselera.","Dia makan malam seperti orang yang sedang berbuka puasa. Dengan demikian, dia makan malam dengan lahap.",Dia makan malam seperti orang yang sedang berbuka puasa.,1
"Dia memanggilku seperti seorang ibu yang mencari anaknya di keramaian. Dengan demikian, dia memanggilku dengan berteriak.","Dia memanggilku seperti seorang ibu yang mencari anaknya di keramaian. Dengan demikian, dia memanggilku dengan berbisik.",Dia memanggilku seperti seorang ibu yang mencari anaknya di keramaian.,0
"Dia memanggilku seperti pencuri yang takut ketahuan. Dengan demikian, dia memanggilku dengan berteriak.","Dia memanggilku seperti pencuri yang takut ketahuan. Dengan demikian, dia memanggilku dengan berbisik.",Dia memanggilku seperti pencuri yang takut ketahuan.,1
"Dia memasak seperti sedang mengikuti kompetisi Masterchef. Dengan demikian, dia memasak dengan sungguh-sungguh.","Dia memasak seperti sedang mengikuti kompetisi Masterchef. Dengan demikian, dia memasak dengan asal.",Dia memasak seperti sedang mengikuti kompetisi Masterchef.,0
"Dia memasak seperti anak kos yang malas. Dengan demikian, dia memasak dengan sungguh-sungguh.","Dia memasak seperti anak kos yang malas. Dengan demikian, dia memasak dengan asal.",Dia memasak seperti anak kos yang malas.,1
"Aku merasa seperti anak kecil yang baru memecahkan vas bunga kesayangan ibunya saat berada di ketinggian. Dengan demikian, aku merasa takut saat berada di ketinggian.","Aku merasa seperti anak kecil yang baru memecahkan vas bunga kesayangan ibunya saat berada di ketinggian. Dengan demikian, aku merasa berani saat berada di ketinggian.",Aku merasa seperti anak kecil yang baru memecahkan vas bunga kesayangan ibunya saat berada di ketinggian.,0
"Aku merasa seperti pecinta reptil yang sedang berkunjung ke penangkaran ular saat berada di ketinggian. Dengan demikian, aku merasa takut saat berada di ketinggian.","Aku merasa seperti pecinta reptil yang sedang berkunjung ke penangkaran ular saat berada di ketinggian. Dengan demikian, aku merasa berani saat berada di ketinggian.",Aku merasa seperti pecinta reptil yang sedang berkunjung ke penangkaran ular saat berada di ketinggian.,1
"Hidungnya seperti buah ceri. Dengan demikian, hidungnya pesek.","Hidungnya seperti buah ceri. Dengan demikian, hidungnya mancung.",Hidungnya seperti buah ceri.,0
"Hidungnya seperti paruh burung. Dengan demikian, hidungnya pesek.","Hidungnya seperti paruh burung. Dengan demikian, hidungnya mancung.",Hidungnya seperti paruh burung.,1
"Warna kulitnya seperti kopi susu. Dengan demikian, warna kulitnya sawo matang.","Warna kulitnya seperti kopi susu. Dengan demikian, warna kulitnya putih gading.",Warna kulitnya seperti kopi susu.,0
"Warna kulitnya seperti salju. Dengan demikian, warna kulitnya sawo matang.","Warna kulitnya seperti salju. Dengan demikian, warna kulitnya putih gading.",Warna kulitnya seperti salju.,1
"Dia menari seperti finalis Indonesia's Got Talent. Dengan demikian, dia menari dengan luwes.","Dia menari seperti finalis Indonesia's Got Talent. Dengan demikian, dia menari dengan kaku.",Dia menari seperti finalis Indonesia's Got Talent.,0
"Dia menari seperti bapak-bapak yang punya asam urat. Dengan demikian, dia menari dengan luwes.","Dia menari seperti bapak-bapak yang punya asam urat. Dengan demikian, dia menari dengan kaku.",Dia menari seperti bapak-bapak yang punya asam urat.,1
"Dia bermain bulutangkis seperti atlet Olimpiade. Dengan demikian, dia bermain bulutangkis dengan hebat.","Dia bermain bulutangkis seperti atlet Olimpiade. Dengan demikian, dia bermain bulutangkis dengan payah.",Dia bermain bulutangkis seperti atlet Olimpiade.,0
"Dia bermain bulutangkis seperti orang mabuk. Dengan demikian, dia bermain bulutangkis dengan hebat.","Dia bermain bulutangkis seperti orang mabuk. Dengan demikian, dia bermain bulutangkis dengan payah.",Dia bermain bulutangkis seperti orang mabuk.,1
"Dia berpakaian seperti akan bertemu pujaan hatinya. Dengan demikian, dia berpakaian rapi.","Dia berpakaian seperti akan bertemu pujaan hatinya. Dengan demikian, dia berpakaian seadanya.",Dia berpakaian seperti akan bertemu pujaan hatinya.,0
"Dia berpakaian seperti mau beli ikan ke pasar. Dengan demikian, dia berpakaian rapi.","Dia berpakaian seperti mau beli ikan ke pasar. Dengan demikian, dia berpakaian seadanya.",Dia berpakaian seperti mau beli ikan ke pasar.,1
"Dia bekerja seakan-akan dia digaji ratusan juta per bulan. Dengan demikian, dia bekerja dengan upaya yang maksimal.","Dia bekerja seakan-akan dia digaji ratusan juta per bulan. Dengan demikian, dia bekerja dengan asal-asalan.",Dia bekerja seakan-akan dia digaji ratusan juta per bulan.,0
"Dia bekerja seakan-akan dia mahasiswa magang yang tidak ingin lulus. Dengan demikian, dia bekerja dengan upaya yang maksimal.","Dia bekerja seakan-akan dia mahasiswa magang yang tidak ingin lulus. Dengan demikian, dia bekerja dengan asal-asalan.",Dia bekerja seakan-akan dia mahasiswa magang yang tidak ingin lulus.,1
"Dari tas yang dipakainya, dia terlihat seperti istri pejabat. Dengan demikian, tasnya terlihat mahal.","Dari tas yang dipakainya, dia terlihat seperti istri pejabat. Dengan demikian, tasnya terlihat murah.","Dari tas yang dipakainya, dia terlihat seperti istri pejabat.",0
"Dari tas yang dipakainya, dia terlihat seperti pengangguran. Dengan demikian, tasnya terlihat mahal.","Dari tas yang dipakainya, dia terlihat seperti pengangguran. Dengan demikian, tasnya terlihat murah.","Dari tas yang dipakainya, dia terlihat seperti pengangguran.",1
"Dia naik ke pesawat seperti orang yang tidak pernah ke luar negeri. Dengan demikian, dia naik ke pesawat dengan ragu-ragu.","Dia naik ke pesawat seperti orang yang tidak pernah ke luar negeri. Dengan demikian, dia naik ke pesawat dengan percaya diri.",Dia naik ke pesawat seperti orang yang tidak pernah ke luar negeri.,0
"Dia naik ke pesawat seperti penumpang kelas bisnis. Dengan demikian, dia naik ke pesawat dengan ragu-ragu.","Dia naik ke pesawat seperti penumpang kelas bisnis. Dengan demikian, dia naik ke pesawat dengan percaya diri.",Dia naik ke pesawat seperti penumpang kelas bisnis.,1
"Dia memelukku seakan-akan aku adalah ibunya. Dengan demikian, dia memelukku dengan erat.","Dia memelukku seakan-akan aku adalah ibunya. Dengan demikian, dia memelukku dengan enggan.",Dia memelukku seakan-akan aku adalah ibunya.,0
"Dia memelukku seakan-akan aku adalah musuh bebuyutannya. Dengan demikian, dia memelukku dengan erat.","Dia memelukku seakan-akan aku adalah musuh bebuyutannya. Dengan demikian, dia memelukku dengan enggan.",Dia memelukku seakan-akan aku adalah musuh bebuyutannya.,1
"Dia mempresentasikan tugasnya seperti pemenang lomba pidato internasional. Dengan demikian, dia mempresentasikan tugasnya dengan yakin.","Dia mempresentasikan tugasnya seperti pemenang lomba pidato internasional. Dengan demikian, dia mempresentasikan tugasnya dengan gelisah.",Dia mempresentasikan tugasnya seperti pemenang lomba pidato internasional.,0
"Dia mempresentasikan tugasnya seperti orang yang sedang menahan pipis. Dengan demikian, dia mempresentasikan tugasnya dengan yakin.","Dia mempresentasikan tugasnya seperti orang yang sedang menahan pipis. Dengan demikian, dia mempresentasikan tugasnya dengan gelisah.",Dia mempresentasikan tugasnya seperti orang yang sedang menahan pipis.,1
"Hotel ini terasa seperti di tengah samudera. Dengan demikian, hotel ini terasa sepi.","Hotel ini terasa seperti di tengah samudera. Dengan demikian, hotel ini terasa ramai.",Hotel ini terasa seperti di tengah samudera.,0
"Hotel ini terasa seperti stadion bola saat pertandingan. Dengan demikian, hotel ini terasa sepi.","Hotel ini terasa seperti stadion bola saat pertandingan. Dengan demikian, hotel ini terasa ramai.",Hotel ini terasa seperti stadion bola saat pertandingan.,1
"Kamu tidur seperti beruang yang sedang hibernasi. Dengan demikian, kamu tidur dengan sangat nyenyak.","Kamu tidur seperti beruang yang sedang hibernasi. Dengan demikian, kamu tidur dengan tidak nyenyak.",Kamu tidur seperti beruang yang sedang hibernasi.,0
"Kamu tidur seperti ibu menyusui yang bayinya rewel. Dengan demikian, kamu tidur dengan sangat nyenyak.","Kamu tidur seperti ibu menyusui yang bayinya rewel. Dengan demikian, kamu tidur dengan tidak nyenyak.",Kamu tidur seperti ibu menyusui yang bayinya rewel.,1
"Hari ini aku merasa seperti anak kecil di toko mainan. Dengan demikian, hari ini aku merasa bahagia.","Hari ini aku merasa seperti anak kecil di toko mainan. Dengan demikian, hari ini aku merasa sedih.",Hari ini aku merasa seperti anak kecil di toko mainan.,0
"Hari ini aku merasa seperti anak kecil yang es krimnya tersenggol dan jatuh. Dengan demikian, hari ini aku merasa bahagia.","Hari ini aku merasa seperti anak kecil yang es krimnya tersenggol dan jatuh. Dengan demikian, hari ini aku merasa sedih.",Hari ini aku merasa seperti anak kecil yang es krimnya tersenggol dan jatuh.,1
"Mobil itu melaju seperti peluru. Dengan demikian, mobilnya cepat.","Mobil itu melaju seperti peluru. Dengan demikian, mobilnya lambat.",Mobil itu melaju seperti peluru.,0
"Mobil itu melaju seperti keong. Dengan demikian, mobilnya cepat.","Mobil itu melaju seperti keong. Dengan demikian, mobilnya lambat.",Mobil itu melaju seperti keong.,1
"Walaupun berusia 15 tahun, Budi berpikir layaknya seorang ilmuwan. Dengan demikian, budi sangat pintar.","Walaupun berusia 15 tahun, Budi berpikir layaknya seorang ilmuwan. Dengan demikian, budi sangat bodoh.","Walaupun berusia 15 tahun, Budi berpikir layaknya seorang ilmuwan.",0
"Walaupun berusia 15 tahun, Budi berpikir layaknya balita. Dengan demikian, budi sangat pintar.","Walaupun berusia 15 tahun, Budi berpikir layaknya balita. Dengan demikian, budi sangat bodoh.","Walaupun berusia 15 tahun, Budi berpikir layaknya balita.",1
"Laptop baru Ani harganya seperti berlian. Dengan demikian, laptopnya mahal.","Laptop baru Ani harganya seperti berlian. Dengan demikian, laptopnya murah.",Laptop baru Ani harganya seperti berlian.,0
"Laptop baru Ani harganya seperti rongsokan. Dengan demikian, laptopnya mahal.","Laptop baru Ani harganya seperti rongsokan. Dengan demikian, laptopnya murah.",Laptop baru Ani harganya seperti rongsokan.,1
"Jajanan di kantin ini rasanya seperti kotoran burung. Dengan demikian, rasa jajanan ini tidak enak.","Jajanan di kantin ini rasanya seperti kotoran burung. Dengan demikian, rasa jajanan ini sangat lezat.",Jajanan di kantin ini rasanya seperti kotoran burung.,0
"Jajanan di kantin ini rasanya seperti sentuhan malaikat. Dengan demikian, rasa jajanan ini tidak enak.","Jajanan di kantin ini rasanya seperti sentuhan malaikat. Dengan demikian, rasa jajanan ini sangat lezat.",Jajanan di kantin ini rasanya seperti sentuhan malaikat.,1
"Penampilannya bagaikan kucing masuk comberan. Dengan demikian, ia berpenampilan kumal dan kusam.","Penampilannya bagaikan kucing masuk comberan. Dengan demikian, ia berpenampilan cantik dan elok.",Penampilannya bagaikan kucing masuk comberan.,0
"Penampilannya bagaikan bidadari. Dengan demikian, ia berpenampilan kumal dan kusam.","Penampilannya bagaikan bidadari. Dengan demikian, ia berpenampilan cantik dan elok.",Penampilannya bagaikan bidadari.,1
"Ketiaknya baunya seperti bunga bangkai. Dengan demikian, ketiaknya berbau tidak sedap.","Ketiaknya baunya seperti bunga bangkai. Dengan demikian, ketiaknya berbau sedap.",Ketiaknya baunya seperti bunga bangkai.,0
"Ketiaknya baunya seperti melati. Dengan demikian, ketiaknya berbau tidak sedap.","Ketiaknya baunya seperti melati. Dengan demikian, ketiaknya berbau sedap.",Ketiaknya baunya seperti melati.,1
"Makan daging itu rasanya seperti menggigit sandal. Dengan demikian, daging itu alot dan keras.","Makan daging itu rasanya seperti menggigit sandal. Dengan demikian, daging itu lembut.",Makan daging itu rasanya seperti menggigit sandal.,0
"Makan daging itu rasanya seperti menggigit kapas. Dengan demikian, daging itu alot dan keras.","Makan daging itu rasanya seperti menggigit kapas. Dengan demikian, daging itu lembut.",Makan daging itu rasanya seperti menggigit kapas.,1
