[PREMISE],[CHOICE1],[CHOICE2],question,[LABEL],changed,[CONNECTOR]
Saya gantungkan kain basah di jemuran.,Saya gantungkan kain basah di jemuran sehingga kain itu telah kering.,Saya gantungkan kain basah di jemuran sehingga kain itu bernoda.,effect,0,False,sehingga
Wanita itu pakai kacamati hitam.,Wanita itu pakai kacamati hitam karena matahari sangat cerah.,Wanita itu pakai kacamati hitam karena ia panggil sebuah taksi.,cause,0,False,karena
Pria itu menatap ke langit malam.,Pria itu menatap ke langit malam karena ia ingin musim panas.,Pria itu menatap ke langit malam karena ia berpikir bahwa langit itu sangat indah.,cause,1,False,karena
Saya merasa lelah.,Saya merasa lelah sehingga saya pergi tidur lebih awal.,Saya merasa lelah sehingga saya tidak tidur sepanjang malam.,effect,0,False,sehingga
Pria itu pergi ke tukang cukur.,Pria itu pergi ke tukang cukur karena ia biarkan rambutnya tumbuh panjang.,Pria itu pergi ke tukang cukur karena rambutnya sudah mulai panjang.,cause,1,False,karena
Bocah itu memainkan tipuan pada teman barunya di kelas.,Bocah itu memainkan tipuan pada teman barunya di kelas karena bocah itu menyambut teman baru sekelasnya dengan baik.,Bocah itu memainkan tipuan pada teman barunya di kelas karena bocah itu tidak suka dengan teman baru sekelasnya.,cause,1,False,karena
Saya ingin minum segelas susu.,Saya ingin minum segelas susu karena saya sedang makan biskuit.,Saya ingin minum segelas susu karena saya sedang membuat roti.,cause,0,False,karena
Hujan mulai turun.,Hujan mulai turun sehingga si pengemudi nyalakan lampu mobilnya.,Hujan mulai turun sehingga si pengemudi memendurkan mobilnya.,effect,0,False,sehingga
Tempat parkir gedung itu kosong.,Tempat parkir gedung itu kosong sehingga saya pakir di seberang jalan.,Tempat parkir gedung itu kosong sehingga saya parkir di dekat pintu masuk.,effect,1,False,sehingga
Penulis itu telat menyerahkan submisi drafnya.,Penulis itu telat menyerahkan submisi drafnya karena dia sedang mendapati blok penulis.,Penulis itu telat menyerahkan submisi drafnya karena dia mengedit draftnya.,cause,0,False,karena
Pekerja itu tutup telepon saya.,Pekerja itu tutup telepon saya karena saya minta bicara dengan pengawasnya.,Pekerja itu tutup telepon saya karena saya berikan nomor identifikasi saya.,cause,0,False,karena
Angin masuk melalui jendela yang terbuka.,Angin masuk melalui jendela yang terbuka sehingga bel pintu berbunyi.,Angin masuk melalui jendela yang terbuka sehingga tira-tirai bergetar.,effect,1,False,sehingga
Rumah saya mati lampu.,Rumah saya mati lampu karena saya cabut colokan lampu itu.,Rumah saya mati lampu karena saya meniup sekering.,cause,1,False,karena
Pengangkat besi itu mendengus.,Pengangkat besi itu mendengus karena ia besarkan ototnya di depan kaca.,Pengangkat besi itu mendengus karena ia angkat besi di atas kepalanya.,cause,1,False,karena
Siswa itu coba melakukan perhitungan di kepalanya.,Siswa itu coba melakukan perhitungan di kepalanya sehingga ia keluarkan sebuah kalkulator.,Siswa itu coba melakukan perhitungan di kepalanya sehingga ia bingung.,effect,1,False,sehingga
Bayi itu tidur.,Bayi itu tidur karena bapaknya ganti popoknya.,Bayi itu tidur karena bapaknya ayunkan bayi itu dengan lembut.,cause,1,False,karena
Perempuan itu lempar sebuah balon air ke bocah lelaki itu.,Perempuan itu lempar sebuah balon air ke bocah lelaki itu sehingga bocah itu gegar otak.,Perempuan itu lempar sebuah balon air ke bocah lelaki itu sehingga bocah itu basah kuyup.,effect,1,False,sehingga
Sang fotografer lupa untuk menggunakan flash ketika mengambil foto.,Sang fotografer lupa untuk menggunakan flash ketika mengambil foto sehingga hasil fotonya buram.,Sang fotografer lupa untuk menggunakan flash ketika mengambil foto sehingga tidak ada yang senyum di dalam foto-foto itu.,effect,0,False,sehingga
Saya tolak undangan pesta ulang tahun itu.,Saya tolak undangan pesta ulang tahun itu karena saya kesepian.,Saya tolak undangan pesta ulang tahun itu karena saya sedang di luar kota.,cause,1,False,karena
Saya olahraga.,Saya olahraga karena saya merasa penuh semangat.,Saya olahraga karena saya takut.,cause,0,False,karena
Aku remas sebuah spons basah.,Aku remas sebuah spons basah sehingga spons itu menyerap air.,Aku remas sebuah spons basah sehingga air keluar dari spons itu.,effect,1,False,sehingga
Para wisatawan naik feri ke sebuah resor.,Para wisatawan naik feri ke sebuah resor karena resor itu sudah penuh dipesan.,Para wisatawan naik feri ke sebuah resor karena resor itu di atas sebuah pulau.,cause,1,False,karena
Anak muda itu mendapatkan sebuah tato.,Anak muda itu mendapatkan sebuah tato karena ia takut dengan jarum.,Anak muda itu mendapatkan sebuah tato karena ia ingin memborontak.,cause,1,False,karena
Sebuah mobil asing parkir di luar rumah saya.,Sebuah mobil asing parkir di luar rumah saya sehingga saya menjadi curiga.,Sebuah mobil asing parkir di luar rumah saya sehingga saya telepon polisi.,effect,0,False,sehingga
Penjahat itu menyerahkan diri.,Penjahat itu menyerahkan diri karena bukti-bukti telah melibatkannya dalam kejahatan itu.,Penjahat itu menyerahkan diri karena tidak ada bukti yang menentangnya.,cause,0,False,karena
Pria bertubuh kekar itu memutuskan untuk menurunkan berat badannya.,Pria bertubuh kekar itu memutuskan untuk menurunkan berat badannya sehingga ia berhenti makan makanan manis.,Pria bertubuh kekar itu memutuskan untuk menurunkan berat badannya sehingga ia hindari kafein.,effect,0,False,sehingga
Perempuan itu injak es.,Perempuan itu injak es sehingga ia terselip.,Perempuan itu injak es sehingga ia bergemetar.,effect,0,False,sehingga
Wanita itu memiliki kantung mata.,Wanita itu memiliki kantung mata karena ia tidak tidur semalaman.,Wanita itu memiliki kantung mata karena dia menidurkan putranya.,cause,0,False,karena
Lava mengalir dari gunung berapi.,Lava mengalir dari gunung berapi karena gunung api itu meletus.,Lava mengalir dari gunung berapi karena gunung berapi itu tidak aktif.,cause,0,False,karena
Wanita itu pakai sepatunya.,Wanita itu pakai sepatunya karena dia kenal semua orang di pesta itu.,Wanita itu pakai sepatunya karena dia ingin berangkat ke pesta.,cause,1,False,karena
Saya berikan bayaran ke pekerja tol.,Saya berikan bayaran ke pekerja tol sehingga ia biarkan saya melewati tol.,Saya berikan bayaran ke pekerja tol sehingga dia tahan saya di gerbang tol.,effect,0,False,sehingga
Eksekutif perusahaan itu bangkrut.,Eksekutif perusahaan itu bangkrut karena ia jual stok perusahaannya.,Eksekutif perusahaan itu bangkrut karena dia menyia-nyiakan hartanya.,cause,1,False,karena
Lelaki itu pergi ke dokternya.,Lelaki itu pergi ke dokternya karena dokternya sedang cuti.,Lelaki itu pergi ke dokternya karena ia merasa sakit.,cause,1,False,karena
Saya keluar lewat jendela kamar saya.,Saya keluar lewat jendela kamar saya karena rumah saya kebakaran.,Saya keluar lewat jendela kamar saya karena rumah saya kosong.,cause,0,False,karena
Jari-jari anak itu menjadi pucat.,Jari-jari anak itu menjadi pucat karena ia mandi lama.,Jari-jari anak itu menjadi pucat karena ia busakan tangannya dengan sabun.,cause,0,False,karena
Saya lepehkan susu.,Saya lepehkan susu karena susu itu berasa asam.,Saya lepehkan susu karena mulut saya kering.,cause,0,False,karena
Saya ketinggalan bis.,Saya ketinggalan bis sehingga saya datang awal ke kantor.,Saya ketinggalan bis sehingga saya datang telat ke kantor.,effect,1,False,sehingga
Mobil itu bertabrakan dengan sebuah truk.,Mobil itu bertabrakan dengan sebuah truk sehingga truk itu melaju cepat.,Mobil itu bertabrakan dengan sebuah truk sehingga mobil itu terhancur.,effect,1,False,sehingga
Tim curang dalam kontes demi menang.,Tim curang dalam kontes demi menang sehingga mereka pun menang.,Tim curang dalam kontes demi menang sehingga mereka keluar dari kontes itu.,effect,0,False,sehingga
Botol soda mendesis.,Botol soda mendesis karena saya putar balik botol itu.,Botol soda mendesis karena saya buka tutup botolnya.,cause,1,False,karena
Bocah itu terkunci di luar rumahnya.,Bocah itu terkunci di luar rumahnya sehingga ia masuk lewat jendela yang terbuka.,Bocah itu terkunci di luar rumahnya sehingga ia panjat atap rumahnya.,effect,0,False,sehingga
Bel pintu berbunyi.,Bel pintu berbunyi sehingga si pengunjung mengetuk di pintu.,Bel pintu berbunyi sehingga wanita itu mengintip melalui lubang kunci di pintu.,effect,1,False,sehingga
Pria itu menodai setelan bajunya.,Pria itu menodai setelan bajunya sehingga setelan bajunya pun di dry-clean.,Pria itu menodai setelan bajunya sehingga ia gantung setelan baju itu di lemari pakaiannya.,effect,0,False,sehingga
Gadis itu meremas tabung pasta gigi.,Gadis itu meremas tabung pasta gigi sehingga pasta gigi keluar dari tabung itu.,Gadis itu meremas tabung pasta gigi sehingga gadis itu lepehkan pasta gigi itu.,effect,0,False,sehingga
Kematian warga sipil akibat perang melonjak naik.,Kematian warga sipil akibat perang melonjak naik sehingga para pasifis melakukan protes.,Kematian warga sipil akibat perang melonjak naik sehingga para pasifis mengadakan parade.,effect,0,False,sehingga
Gadis itu menarik pita itu dari rambutnya.,Gadis itu menarik pita itu dari rambutnya karena dia ikat pita itu.,Gadis itu menarik pita itu dari rambutnya karena pita itu tampak kekanak-kanakan.,cause,1,False,karena
Pria itu menjalani operasi plastik.,Pria itu menjalani operasi plastik sehingga ia menua.,Pria itu menjalani operasi plastik sehingga ia menjadi terlihat lebih muda.,effect,1,False,sehingga
Seekor bayi ayam keluar dari telur.,Seekor bayi ayam keluar dari telur karena telur itu menetas.,Seekor bayi ayam keluar dari telur karena saya pecahkan telur itu.,cause,0,False,karena
Tahanan itu kelaparan.,Tahanan itu kelaparan sehingga ia meninggal.,Tahanan itu kelaparan sehingga ia kabur.,effect,0,False,sehingga
Pria itu kehilangan keseimbangan di atas tangga.,Pria itu kehilangan keseimbangan di atas tangga sehingga dia memanjat tangga.,Pria itu kehilangan keseimbangan di atas tangga sehingga dia jatuh dari tangga.,effect,1,False,sehingga
Anak itu sendawa.,Anak itu sendawa karena ia meneguk soda.,Anak itu sendawa karena ia buka sebuah kaleng soda.,cause,0,False,karena
Angin dingin masuk melalui jendela.,Angin dingin masuk melalui jendela sehingga saya tenang.,Angin dingin masuk melalui jendela sehingga saya bergemetar.,effect,1,False,sehingga
Siswa menerima beasiswa untuk kuliah.,Siswa menerima beasiswa untuk kuliah karena teman-teman kelasnya menghormatinya.,Siswa menerima beasiswa untuk kuliah karena dia mendapat nilai bagus.,cause,1,False,karena
Gadis itu mengolok-olok bocah itu.,Gadis itu mengolok-olok bocah itu karena gadis itu adalah tetangganya.,Gadis itu mengolok-olok bocah itu karena gadis itu menaksir dia.,cause,1,False,karena
Gelandangan yang lapar itu mencuri makanan.,Gelandangan yang lapar itu mencuri makanan karena dia menghasut iba.,Gelandangan yang lapar itu mencuri makanan karena ia tidak memiliki uang.,cause,1,False,karena
Saya memanggil teman saya untuk mengobrol.,Saya memanggil teman saya untuk mengobrol karena saya menginginkan privasi.,Saya memanggil teman saya untuk mengobrol karena saya merasa kesepian.,cause,1,False,karena
Pria itu mengulurkan tangannya padaku.,Pria itu mengulurkan tangannya padaku sehingga saya jabat tangannya.,Pria itu mengulurkan tangannya padaku sehingga saya tampar dia.,effect,0,False,sehingga
Saya menunduk.,Saya menunduk karena kembang api berluncur ke udara.,Saya menunduk karena frisbee itu terbang ke arah kepala saya.,cause,1,False,karena
Gadis itu menggigit kukunya.,Gadis itu menggigit kukunya karena dia khawatir.,Gadis itu menggigit kukunya karena dia terkejut.,cause,0,False,karena
Saya balik halaman kalender itu.,Saya balik halaman kalender itu karena saya menandai sebuah perjanjian di kalender itu.,Saya balik halaman kalender itu karena sudah waktunya awal bulan baru.,cause,1,False,karena
Sang suami menemukan bahwa istrinya berselingkuh.,Sang suami menemukan bahwa istrinya berselingkuh sehingga dia pecat pengacaranya.,Sang suami menemukan bahwa istrinya berselingkuh sehingga dia mengajukan cerai ke istrinya.,effect,1,False,sehingga
Gadis itu menjatuhkan sebuah bola karet.,Gadis itu menjatuhkan sebuah bola karet sehingga bola itu melambung.,Gadis itu menjatuhkan sebuah bola karet sehingga bola itu bersinar.,effect,0,False,sehingga
Gadis itu membuat kesalahan dalam ujiannya.,Gadis itu membuat kesalahan dalam ujiannya sehingga dia menebak jawabannya.,Gadis itu membuat kesalahan dalam ujiannya sehingga dia hapus jawabannya.,effect,1,False,sehingga
Pemain itu menjatuhkan lawannya.,Pemain itu menjatuhkan lawannya sehingga lawannya menangkap operan dari temannya.,Pemain itu menjatuhkan lawannya sehingga lawannya jatuh.,effect,1,False,sehingga
Saya memilih tomat dari tanamannya.,Saya memilih tomat dari tanamannya karena mereka sudah matang.,Saya memilih tomat dari tanamannya karena saya menyirami mereka.,cause,0,False,karena
Pria itu ingin bertindak romantis.,Pria itu ingin bertindak romantis sehingga dia makan siang dengan mantan pacarnya.,Pria itu ingin bertindak romantis sehingga dia belikan cokelat untuk pacarnya.,effect,1,False,sehingga
Merkuri dalam termometer naik.,Merkuri dalam termometer naik karena saya menjatuhkan termometer itu.,Merkuri dalam termometer naik karena cuaca semakin hangat.,cause,1,False,karena
Sebuah tornado melewati kota.,Sebuah tornado melewati kota sehingga atap gedung pengadilan itu tertiup lepas.,Sebuah tornado melewati kota sehingga jalan raya menjadi sangat licin karena es.,effect,0,False,sehingga
Siswa itu menerima bimbingan belajar.,Siswa itu menerima bimbingan belajar sehingga angkanya pun naik.,Siswa itu menerima bimbingan belajar sehingga dia curang saat ujian.,effect,0,False,sehingga
Saya merasa nyaman.,Saya merasa nyaman karena saya berlutut di tanah.,Saya merasa nyaman karena aku bungkus diri saya dalam selimut.,cause,1,False,karena
Saya memoles batu itu.,Saya memoles batu itu sehingga batu itu menjadi licin.,Saya memoles batu itu sehingga batu itu menjadi mengkilat.,effect,1,False,sehingga
Saya tambahkan gula ke kopi itu.,Saya tambahkan gula ke kopi itu sehingga kopi itu memiliki arom yang kuat.,Saya tambahkan gula ke kopi itu sehingga kopi itu terasa manis.,effect,1,False,sehingga
Laki itu mengolah kertas-kertas itu.,Laki itu mengolah kertas-kertas itu sehingga tangannya terpotong oleh kertas-kertas itu.,Laki itu mengolah kertas-kertas itu sehingga dia merobek-robekkan kertas-kertas itu.,effect,0,False,sehingga
Saya memukul paku dengan palu.,Saya memukul paku dengan palu sehingga paku itu masuk ke dalam kayu.,Saya memukul paku dengan palu sehingga paku itu berkarat.,effect,0,False,sehingga
Ikan itu menggigiti senar pancingan itu.,Ikan itu menggigiti senar pancingan itu sehingga nelayan itu menarik balik ikan itu.,Ikan itu menggigiti senar pancingan itu sehingga nelayan itu balikan kembali senar pancingannya.,effect,0,False,sehingga
Remaja itu terlalu malu untuk pergi ke sekolah.,Remaja itu terlalu malu untuk pergi ke sekolah karena dia punya jerawat.,Remaja itu terlalu malu untuk pergi ke sekolah karena dia telah lepaskan kawat giginya.,cause,0,False,karena
Ekspresi wajahku bersinar.,Ekspresi wajahku bersinar karena saya menerima kabar baik.,Ekspresi wajahku bersinar karena saya kehilangan kesabaran.,cause,0,False,karena
Saya usap tangan saya dengan handuk.,Saya usap tangan saya dengan handuk karena handuk itu basah.,Saya usap tangan saya dengan handuk karena tangan saya basah.,cause,1,False,karena
Pria itu kehilangan keseimbangan di atas bangku.,Pria itu kehilangan keseimbangan di atas bangku karena bangku itu bergetar di bawahnya.,Pria itu kehilangan keseimbangan di atas bangku karena dia tumpahkan cat di bangku itu.,cause,0,False,karena
Rekan-rekan satu tim saling menyalahkan.,Rekan-rekan satu tim saling menyalahkan karena mereka kalah di permainan mereka.,Rekan-rekan satu tim saling menyalahkan karena pelatih mereka membatalkan latihan mereka.,cause,0,False,karena
Saya meminta maaf.,Saya meminta maaf karena saya menyesali kesalahan saya.,Saya meminta maaf karena saya telah mencapai tujuan saya.,cause,0,False,karena
Wanita itu bosan dengan teman kencannya.,Wanita itu bosan dengan teman kencannya karena dia banyak bertanya tentang dirinya.,Wanita itu bosan dengan teman kencannya karena dia terus-menerus berbicara tentang dirinya sendiri.,cause,1,False,karena
Gadis itu tersenyum.,Gadis itu tersenyum sehingga pipinya memerah.,Gadis itu tersenyum sehingga lesung pipinya terlihat.,effect,1,False,sehingga
Kapal musuh meledak.,Kapal musuh meledak karena kapal itu melewati sebuah ranjau.,Kapal musuh meledak karena kapal itu berlayar ke pelabuhan.,cause,0,False,karena
Kaki pria itu tertusuk.,Kaki pria itu tertusuk karena dia berjalan melewati genangan air.,Kaki pria itu tertusuk karena dia menginjak pecahan kaca.,cause,1,False,karena
Para detektif mencari sidik jari di TKP.,Para detektif mencari sidik jari di TKP sehingga mereka menemukan identitas si pembunuh.,Para detektif mencari sidik jari di TKP sehingga mereka menemukan senjata di TKP.,effect,0,False,sehingga
Ada banyak macet di jalan raya.,Ada banyak macet di jalan raya sehingga saya mengambil jalan lintas.,Ada banyak macet di jalan raya sehingga saya meminta tumpangan.,effect,0,False,sehingga
Ekonomi negara menurun.,Ekonomi negara menurun sehingga banyak orang sakit.,Ekonomi negara menurun sehingga banyak orang pengangguran.,effect,1,False,sehingga
Penjaga lalu lintas meniup peluitnya pada anak-anak.,Penjaga lalu lintas meniup peluitnya pada anak-anak karena mereka hampir berjalan menuju lalu lintas yang sibuk.,Penjaga lalu lintas meniup peluitnya pada anak-anak karena dia mengenali mereka dari lingkungannya.,cause,0,False,karena
Aku memutar mataku ke arah temanku.,Aku memutar mataku ke arah temanku karena dia mengatakan kebenaran.,Aku memutar mataku ke arah temanku karena dia membuat komentar sarkastik.,cause,1,False,karena
Mobil itu kehabisan bensin.,Mobil itu kehabisan bensin sehingga pengemudi itu terdampar di jalan.,Mobil itu kehabisan bensin sehingga pengemudi itu mendapat tumpangan.,effect,0,False,sehingga
Wanita itu melahirkan.,Wanita itu melahirkan sehingga bayi itu lahir.,Wanita itu melahirkan sehingga wanita itu menderita mual di pagi hari.,effect,0,False,sehingga
Topi pria itu tertiup lepas.,Topi pria itu tertiup lepas karena dia lepaskan topinya.,Topi pria itu tertiup lepas karena ada banyak angin di luar.,cause,1,False,karena
Gadis itu menghadiri pesta ulang tahun teman sekelasnya.,Gadis itu menghadiri pesta ulang tahun teman sekelasnya karena dia menerima undangan.,Gadis itu menghadiri pesta ulang tahun teman sekelasnya karena dia membelikannya hadiah.,cause,0,False,karena
Dahi bocah itu terasa panas.,Dahi bocah itu terasa panas sehingga ibunya mengukur suhu tubuhnya.,Dahi bocah itu terasa panas sehingga ibunya membawanya ke taman.,effect,0,False,sehingga
Pria itu menyemprotkan dirinya sendiri dengan cologne.,Pria itu menyemprotkan dirinya sendiri dengan cologne karena dia ingin berkesan kepada teman kencannya.,Pria itu menyemprotkan dirinya sendiri dengan cologne karena dia mengemas rambutnya dengan gel.,cause,0,False,karena
Listrik di rumah mati.,Listrik di rumah mati sehingga saya mencari senter.,Listrik di rumah mati sehingga saya ambil sebuah sekop.,effect,0,False,sehingga
Keluarga itu pindah ke rumah yang lebih besar.,Keluarga itu pindah ke rumah yang lebih besar karena putranya telah lulus dari sekolah menengah.,Keluarga itu pindah ke rumah yang lebih besar karena sang ibu melahirkan anak kembar.,cause,1,False,karena
Pelari maraton itu berlari dengan lambat.,Pelari maraton itu berlari dengan lambat karena dia ingin menghemat energinya.,Pelari maraton itu berlari dengan lambat karena dia sudah bisa lihat garis akhir.,cause,0,False,karena
Bocah itu menendang mesin penjual otomatis itu.,Bocah itu menendang mesin penjual otomatis itu karena banyak kembalian keluar dari mesin itu.,Bocah itu menendang mesin penjual otomatis itu karena kantung keripik yang ia beli itu macet di dalam mesin.,cause,1,False,karena
Anjing teman saya mati.,Anjing teman saya mati sehingga aku memutar mataku padanya.,Anjing teman saya mati sehingga saya peluk teman saya.,effect,1,False,sehingga
Kartu kredit milik pengusaha itu ditolak.,Kartu kredit milik pengusaha itu ditolak sehingga dia menulis sebuah surat hutang.,Kartu kredit milik pengusaha itu ditolak sehingga dia bayar dengan uang cash.,effect,1,False,sehingga
Pria itu mengatakan kata-kata kasar.,Pria itu mengatakan kata-kata kasar karena dia potong kukunya.,Pria itu mengatakan kata-kata kasar karena jari kakinya terbentur sesuatu.,cause,1,False,karena
Pria itu bangga dengan saudaranya.,Pria itu bangga dengan saudaranya karena saudaranya bertengkar dengan orang tua mereka.,Pria itu bangga dengan saudaranya karena saudaranya diterima di sekolah hukum.,cause,1,False,karena
Gadis itu ingin belajar tentang tata surya.,Gadis itu ingin belajar tentang tata surya sehingga dia pergi ke perpustakaan.,Gadis itu ingin belajar tentang tata surya sehingga dia melihat bintang-bintang di langit.,effect,0,False,sehingga
Poster itu menempel di dinding.,Poster itu menempel di dinding karena saya menempatkan poster itu di atas pintu.,Poster itu menempel di dinding karena saya menempelkan selotip di bagian belakang poster itu.,cause,1,False,karena
Klien menyetujui rencana arsitek untuk bangunan itu.,Klien menyetujui rencana arsitek untuk bangunan itu sehingga arsitek itu membangun gedung itu.,Klien menyetujui rencana arsitek untuk bangunan itu sehingga arsitek itu pun menyesuaikan rencananya.,effect,0,False,sehingga
Pria itu menjatuhkan sendoknya.,Pria itu menjatuhkan sendoknya karena tangannya bergemetar.,Pria itu menjatuhkan sendoknya karena dia jilat sendok itu.,cause,0,False,karena
CEO perusahaan itu telah mengundurkan diri.,CEO perusahaan itu telah mengundurkan diri sehingga dewan direksi bubarkan perusahaan itu.,CEO perusahaan itu telah mengundurkan diri sehingga dewan direksi telah menemukan penggantinya.,effect,1,False,sehingga
Saya datang terlambat ke kuliah.,Saya datang terlambat ke kuliah sehingga saya mengambil tempat duduk di barisan belakang.,Saya datang terlambat ke kuliah sehingga saya mendekati podium.,effect,0,False,sehingga
Pria itu dibebaskan dari penjara.,Pria itu dibebaskan dari penjara karena keluarganya telah bayar uang jaminannya.,Pria itu dibebaskan dari penjara karena dia menyerang seorang narapidana.,cause,0,False,karena
Keluarga itu kehilangan semua barang-barang mereka.,Keluarga itu kehilangan semua barang-barang mereka karena mereka jual rumah mereka.,Keluarga itu kehilangan semua barang-barang mereka karena rumah mereka kebakaran.,cause,1,False,karena
Saya injak kaleng aluminium itu.,Saya injak kaleng aluminium itu sehingga kaleng itu didaur ulang.,Saya injak kaleng aluminium itu sehingga kaleng itu hancur.,effect,1,False,sehingga
Perempuan itu ikut tim debat.,Perempuan itu ikut tim debat sehingga ia belajar cara menggunakan komputer.,Perempuan itu ikut tim debat sehingga dia belajar untuk berkomunikasi.,effect,1,False,sehingga
Suasana hatiku membaik.,Suasana hatiku membaik karena saya dengarkan musik.,Suasana hatiku membaik karena saya mencuci piring.,cause,0,False,karena
Badan amal itu membuat sebuah sasaran untuk penggalangan uang mereka.,Badan amal itu membuat sebuah sasaran untuk penggalangan uang mereka sehingga mereka memberi makan kepada para tunawisma.,Badan amal itu membuat sebuah sasaran untuk penggalangan uang mereka sehingga mereka mengadakan lelang.,effect,1,False,sehingga
Roller coaster itu jatuh menuruni tebing curam.,Roller coaster itu jatuh menuruni tebing curam sehingga para penumpang terkikik.,Roller coaster itu jatuh menuruni tebing curam sehingga para penumpang teriak.,effect,1,False,sehingga
Saya sangat marah.,Saya sangat marah sehingga saya memeriksa kotak surat sebelum meninggalkan rumah.,Saya sangat marah sehingga saya membanting pintu ketika meninggalkan rumah.,effect,1,False,sehingga
Pria itu ingin menyaksikan matahari terbit.,Pria itu ingin menyaksikan matahari terbit sehingga dia melakukan perjalanan ke utara.,Pria itu ingin menyaksikan matahari terbit sehingga dia bangun pagi-pagi.,effect,1,False,sehingga
Saya melipat kertas.,Saya melipat kertas sehingga saya mendaur ulang kertas.,Saya melipat kertas sehingga kertasnya berkerut.,effect,1,False,sehingga
Bangsa itu mengalami bencana alam.,Bangsa itu mengalami bencana alam sehingga para pemimpin negara lain membentuk sebuah aliansi.,Bangsa itu mengalami bencana alam sehingga para pemimpin negara lain mengirimkan bantuan darurat.,effect,1,False,sehingga
Pakaian bocah itu basah kuyup.,Pakaian bocah itu basah kuyup karena dia memanjat keluar dari kolam.,Pakaian bocah itu basah kuyup karena dia jatuh ke kolam.,cause,1,False,karena
Siswa itu bergegas untuk menyelesaikan buku itu.,Siswa itu bergegas untuk menyelesaikan buku itu karena buku itu harus dikembalikan ke perpustakaan.,Siswa itu bergegas untuk menyelesaikan buku itu karena dia meminjamnya dari seorang teman.,cause,0,False,karena
Penjahat itu dieksekusi.,Penjahat itu dieksekusi karena dia dimasukkan ke penjara.,Penjahat itu dieksekusi karena dia dihukum karena melakukan pembunuhan.,cause,1,False,karena
Sinar matahari memasuki ruangan.,Sinar matahari memasuki ruangan karena saya membuka tirai.,Sinar matahari memasuki ruangan karena saya membuka kunci pintu.,cause,0,False,karena
Aku menarik rambut si penipu itu.,Aku menarik rambut si penipu itu sehingga wignya terlepas.,Aku menarik rambut si penipu itu sehingga dia botak.,effect,0,False,sehingga
Editor menulis ulang sebuah kalimat dalam naskah itu.,Editor menulis ulang sebuah kalimat dalam naskah itu karena dia berpikir bahwa naskah itu menarik.,Editor menulis ulang sebuah kalimat dalam naskah itu karena dia menganggap kalimat itu tidak jelas.,cause,1,False,karena
Wanita itu membatalkan akun kartu kreditnya.,Wanita itu membatalkan akun kartu kreditnya karena dia menyadari bahwa kartu itu hilang.,Wanita itu membatalkan akun kartu kreditnya karena dia menyadari bahwa kartu itu sudah kedaluwarsa.,cause,0,False,karena
Pria dan wanita itu jatuh cinta.,Pria dan wanita itu jatuh cinta sehingga mereka kuliah.,Pria dan wanita itu jatuh cinta sehingga mereka menikah.,effect,1,False,sehingga
Musiknya terlalu redup untuk didengar.,Musiknya terlalu redup untuk didengar sehingga saya naikkan volumenya.,Musiknya terlalu redup untuk didengar sehingga saya menyusun lagu saya sendiri.,effect,0,False,sehingga
Rambut anak laki-laki itu mencuat.,Rambut anak laki-laki itu mencuat karena gadis itu mengacak-acaknya.,Rambut anak laki-laki itu mencuat karena gadis itu menariknya.,cause,0,False,karena
Serangga itu tergencet.,Serangga itu tergencet karena saya menyemprot diri saya dengan obat nyamuk.,Serangga itu tergencet karena saya injak serangga itu.,cause,1,False,karena
Saya buka mata saya.,Saya buka mata saya karena saya terbangun.,Saya buka mata saya karena saya merasa tenang.,cause,0,False,karena
Musik dari rumah tetangga saya menggelegar.,Musik dari rumah tetangga saya menggelegar sehingga saya memintanya untuk mengecilkan musiknya.,Musik dari rumah tetangga saya menggelegar sehingga saya meminta untuk meminjam CD musik itu darinya.,effect,0,False,sehingga
Keluarga pria itu hidup dalam kemiskinan.,Keluarga pria itu hidup dalam kemiskinan karena dia sangat hemat dengan penghasilannya.,Keluarga pria itu hidup dalam kemiskinan karena ia mendapat upah di bawah upah minimum.,cause,1,False,karena
Siswa itu lulus dari universitas.,Siswa itu lulus dari universitas sehingga dia mencari pekerjaan.,Siswa itu lulus dari universitas sehingga dia memulai sebuah hobi.,effect,0,False,sehingga
Sang seniman mencampur cat warna kuning dengan cat warna biru.,Sang seniman mencampur cat warna kuning dengan cat warna biru sehingga cat berhamburan ke mana-mana.,Sang seniman mencampur cat warna kuning dengan cat warna biru sehingga catnya berubah menjadi hijau.,effect,1,False,sehingga
Saya mengubah topik pembicaraan.,Saya mengubah topik pembicaraan karena saya kehabisan topik untuk dibicarakan.,Saya mengubah topik pembicaraan karena pembicaraan itu menjadi tegang.,cause,1,False,karena
Adikku telah dikeluarkan dari rumah sakit.,Adikku telah dikeluarkan dari rumah sakit sehingga saya menyambutnya kembali ke rumah.,Adikku telah dikeluarkan dari rumah sakit sehingga saya memberinya bahu dingin.,effect,0,False,sehingga
Tirai di panggung naik.,Tirai di panggung naik sehingga adegan pembuka drama itu dimulai.,Tirai di panggung naik sehingga para aktor dalam drama itu keluar dari panggung.,effect,0,False,sehingga
Si sandera menyerahkan diri ke mandat penculik mereka.,Si sandera menyerahkan diri ke mandat penculik mereka karena penculik mengancam akan melukai sandera itu.,Si sandera menyerahkan diri ke mandat penculik mereka karena penculik tinggalkan sandera itu sendirian.,cause,0,False,karena
